tu,dinh_nghia
tĩnh mạch,mạch máu dẫn máu từ khắp cơ thể về tim
nháp,viết sơ lược trước khi viết chính thức
tam đảo,ba hòn đảo ở biển Bột Hải - Trung Quốc
sát cánh,góp sức với nhau trong công việc chung
huấn điều,(từ cũ) điều khuyên dạy của người trên
hồi kinh,(từ cũ) quan từ các tỉnh về kinh thành
ốc mượn hồn,loài còng nhỏ sống trong vỏ ốc đã chết
họp,"tụ tập cùng một nơi, cùng làm một việc"
tiểu đoàn bộ,nơi làm việc của ban chỉ huy tiểu đoàn
huy động,kêu gọi số đông vào một việc cần thiết
hợp tấu,bản nhạc do nhiều người cùng biểu diễn
hợp cổ,nhiều người cùng góp vốn để kinh doanh
in ảnh,dùng âm bản chuyển từ phim ra giấy ảnh
tổng sản lượng,lượng sản phẩm thu hoạch trong một năm
giới tửu,cấm người tu hành không được uống rượu
tồn tại,"vấn đề còn phải giải quyết, nghiên cứu"
tôn ti,"trật tự trên dưới, cần được coi trọng."
công trái,hình thức nhà nước vay vốn của tư nhân
nước vàng,nước rỉ ra từ mụn nhọt hoặc vết thương
giữ kẽ,"chú ý những điều rất nhỏ, trong đối xử"
gỡ tội,"dùng lý lẽ, bằng chứng để giảm nhẹ tội"
óng,"sợi dây giữ ách, vòng dưới cổ trâu, bò"
ong chúa,con ong cái duy nhất trong một đàn ong
góp vốn,bỏ tiền cùng với người khác kinh doanh
hơi,trọng lượng gia súc khi chưa giết thịt
hồng tâm,"điểm tròn ở giữa bia, làm đích tập bắn"
trần,mặt phẳng nằm ngang giới hạn phía trên
hòm gian,"(từ cũ) hòm lớn, dài gần bằng gian nhà"
tác gia,"người làm ra những nghệ thuật, văn học"
quân phục,đồng phục của quân nhân trong quân đội
quân pháp,pháp luật được thi hành trong quân đội
giảng giải,"giảng cho hiểu thật rõ, thật tường tận"
hổ trướng,(từ cũ) nơi làm việc của tướng chỉ huy
hồi ký,thể văn ghi lại những điều đã trải qua
nước mềm,nước chứa rất ít muối can-xi và ma-giê
nước lũ,"nước từ đầu nguồn đổ về, trong mùa mưa"
lá nhãn,"tờ giấy dán để chỉ tên hàng, cách dùng"
hoẵng,"thú rừng, lông màu vàng đỏ như lông bò"
tròng,"gậy có nút thòng lọng, để bắt chó, lợn"
ti toe,làm ra bộ có khả năng với vẻ đáng ghét
cửa viên,(từ cũ) nơi đóng quân của một vị tướng
thưởng phạt,thưởng người có công và phạt kẻ có tội
gảy,hất nhẹ bằng đầu ngón tay hay bằng vật
ghé tai,kề miệng vào tai người khác để nói nhỏ
ghếch,đặt chếch cho một đầu tựa lên điểm cao
cung nữ,người hầu trong cung vua; nhưcung nhân
trăng hoa,"tình yêu trai gái lăng nhăng, nông cạn"
thử lửa,dùng lửa để xem xét phẩm chất của vàng
thuyết trình,trình bày một vấn đề trước nhiều người
đeo đuổi,"không chịu rời ra, bất kể khó khăn nào"
trưởng tộc,người đứng đầu chi cao nhất của một họ
trực tràng,"đoạn cuối ruột già, ngay trước hậu môn"
để dành,"giữ lại dùng cho người khác, việc khác"
tiếp quản,thu nhận và đặt vào chủ quyền của mình
nọng,"khoanh thịt cắt ra từ cổ trâu, bò, lợn"
đong,đo thể tích chất lỏng hay chất hạt rời
định vị,xác định hoặc cố định vị trí cần thiết
tiên tri,biết trước được những việc chưa xảy ra
trụ sở,nơi làm việc hàng ngày của một tổ chức
tiếc,"ân hận, day dứt vì để mất đi cái gì đó"
tỏ vẻ,"biểu hiện một thái độ, tình cảm nào đó"
nói lửng,"nói không hết ý, để người khác tự hiểu"
nói,dùng một thứ tiếng nào đó để giao tiếp
súng ngắn,"súng nhỏ, cầm bắn một tay; nhưsúng lục"
dẫn,thắng điểm trong một cuộc thi thể thao
tứ dân,bốn hạng người trong xã hội phong kiến
tuyệt đại đa số,"số rất lớn, số còn lại không bao nhiêu"
duỗi,"đẩy ra để khỏi bị vướng víu, ràng buộc"
nịt,"dây có chun, giữ bít tất cho khỏi tuột"
nọc độc,"tác dụng nguy hại về văn hoá, tư tưởng"
đảo điên,"tráo trở, thay đổi một cách trắng trợn"
hệ quả,mệnh đề toán học suy ra từ một định lý
mầm mống,cơ sở khởi điểm cho phát triển sau này
hải quân,lực lượng vũ trang hoạt động trên biển
tôn trọng,"giữ gìn và tránh vi phạm, xúc phạm đến"
số nhân,(toán học) số được nhân với số bị nhân
lắc-lê,chìa vặn ốc (từ gốc tiếng Pháp la clé)
bưu cục,nơi làm việc và giao dịch của bưu điện
lời văn,hình thức diễn đạt được viết thành văn
ung nhọt,"hiện tượng xấu xa, thối nát của xã hội"
bàu,"chỗ đất trũng sâu, chứa nước để thả cá"
cử hành,làm một việc có tính chất trang nghiêm
cúng,đóng góp tiền của để làm việc từ thiện
tòi,"đưa ra một cách miễn cưỡng, bất đắc dĩ"
tứ thiết,"bốn loại gỗ quý: đinh, lim, sến và táu"
toi,"bệnh dịch lan nhanh ở gia cầm, gia súc"
vịnh,"Phần biển, hồ lớn ăn sâu vào đất liền."
nội trú,"ăn, ở ngay trong trường, bệnh viện,..."
số bị chia,(toán học) số đem chia cho một số khác
sổ thu,sổ ghi những món nhập của một cửa hàng
lẵng,"giỏ nhỏ đan bằng mây tre, có quai xách"
ru,hát nhỏ và vỗ vào người cho trẻ dễ ngủ
nhiệt năng,năng lượng sản sinh ra dưới dạng nhiệt
cọ xát,tiếp xúc với thử thách trong cuộc sống
có,mối quan hệ giữa chỉnh thể với bộ phận
co bóp,thắt lại rồi dãn ra một cách liên tiếp
chường,cố ý cho người cùng thấy (hàm ý khinh)
tránh tiếng,tránh cho mình khỏi bị dư luận chê bai
du côn,"kẻ chuyên gây sự, hành hung người khác"
quốc sỉ,"điều sỉ nhục, khiến cả nước bị xấu lây"
rỉa,"dùng miệng, mỏ mổ hoặc đớp từng ít một"
chép,"đồ dùng bằng sắt, lưỡi mỏng để xới đất"
xe cộ,"Các phương tiện chuyên chở, nói chung."
nhân quần,toàn thể loài người cùng sống trên đời
dinh,nơi ở và làm việc của nhân vật cao cấp
nhân tâm,lòng người đối với những sự việc chung
viễn thông,Truyền tin đi xa bằng mọi phương thức.
ba trợn,"thiếu đứng đắn, thiếu thật thà, ba hoa"
ở đợ,làm thuê có thời hạn và lấy công trước
rên xiết,"Than thở, kêu ca vì bị đè nén, áp bức."
dưa,thức ăn làm bằng rau hoặc củ muối chua
chăn gối,vợ chồng ăn ở với nhau; chung chăn gối
trấn an,"làm cho dịu đi những hoang mang, lo sợ"
ám muội,"lén lút làm điều xấu, không chính đáng"
y sĩ,Thầy thuốc có học vị trung học y khoa.
chắt bóp,"tằn tiện chi tiêu, để dành từng ít một"
du thuyền,"tàu, thuyền nhỏ dùng đưa người du lịch"
cam phận,bằng lòng với cảnh sống thua kém người
cam đoan,khẳng định điều mình trình bày là đúng
cản trở,làm cho công việc tiến hành không được
nhà tây,"nhà nhiều phòng, xây theo kiểu châu Âu"
trình làng,giới thiệu chính thức trước công chúng
càn,"hành quân ào ạt để tiêu diệt, cướp bóc"
bất công,"không công bằng khi giải quyết, đối xử"
bạc nhược,"yếu ớt, không đủ sức vượt qua khó khăn"
triệu tập,"mời đến một địa điểm, một cuộc họp,..."
triệt,dồn vào thế không thể tiếp tục tồn tại
treo gương,nêu gương sáng cho người khác noi theo
rập khuôn,bắt chước kiểu có sẵn một cách máy móc
rấp,"lấp lối đi tạm bằng cành rào, cành gai"
truy,đặt những câu hỏi để xem đã thuộc chưa
cay nghiệt,khắc khe nghiệt ngã đối với người khác
nha lại,người làm công việc văn thư ờ cửa quan
bàn,lần tính thắng hay thua trong trận đấu
biếu,"cho, tặng một cách trân trọng, lễ phép"
biện chứng,hợp với quy luật khách quan của sự vật
bớt,giữ lại một phần để dùng vào việc khác
giọng,"độ cao thấp trong tiếng nói, tiếng hát"
phán quyết,quyết định phân xử sau khi đã cân nhắc
nguyên tử lượng,(hoá học) khối lượng của một nguyên tử
ấp ủ,"ôm, giữ trong lòng một cách trân trọng"
bàn giao,giao lai công việc cho người thay mình
giềng,dây cái của lưới để buộc phao hoặc chì
ngư hộ,gia đình chuyên sống bằng nghề đánh cá
mỏ hàn,"dụng cụ bằng sắt, để nung nóng khi hàn"
ban,"cây nhỏ thuộc họ đậu, có hoa màu trắng"
chính chuyên,giữ trọn vẹn lòng chung thuỷ với chồng
bày,sắp xếp sao cho nổi rõ vẻ đẹp ra ngoài
bay hơi,chất lỏng chuyển thành hơi và thoát đi
truyền đạt,chuyển tin tức cho người khác nắm được
ngũ vị,"năm mùi vị: mặn, ngọt, chua, cay, đắng"
phát canh,đưa ruộng cho người khác làm để thu tô
cá thể,"vật riêng lẻ, phân biệt với chủng loại"
phanh phui,làm lộ ra trước dư luận sự thật xấu xa
sâu mọt,những kẻ chuyên đục khoét vì lợi riêng
sâu dâu,"sâu đục cây dâu, có thể dùng làm thuốc"
giẻ cùi,"chim có chân đỏ, đuôi dài, lông sặc sỡ"
gie,"loài cây to, dùng làm nhà, đóng đồ đạc"
ăn năn,hối hận trong lòng vì lỗi lầm của mình
ăn tết,"ăn uống, vui chơi trong những ngày tết"
ùm,tiếng vang trầm của vật rơi xuống nước
phân chia,"chia thành nhiều phần, nhiều giai đoạn"
phạt,bắt nhận lỗi bằng một hình thức nào đó
rà rẫm,"loay hoay, chậm chạp như lần từng bước"
vinh,Được xã hội đánh giá cao và coi trọng.
véo von,"Âm thanh lên xuống nhẹ nhàng, mềm mại."
dạn mặt,không biết xấu hổ trước bất cứ việc gì
xã giao,Theo phép lịch sự giữa người và người.
mô,tập hợp những tế bào có cùng chức năng
ái khanh,từ vua chúa gọi các bề tôi mà mình yêu
cứng,chịu được tác động; không bị biến dạng
xốp,"Có nhiều lỗ hổng bên trong, không sát."
tu dưỡng,"rèn luyện, trau dồi để trở nên tốt hơn"
xào xạc,Có tiếng như lá cây chạm nhẹ vào nhau.
ngũ,"đơn vị cũ đo độ dài, bằng khoảng 2 mét"
quyết tử,sẵn sàng hi sinh tính mạng vì nhiệm vụ
quyến rũ,lôi cuốn cho người ta mê mẩn nghe theo
lệ nông,nô lệ ở cuối thời đế quốc La Mã cổ đại
độc hại,"những chất làm hại sức khoẻ, tinh thần"
trung dung,"luôn đứng giữa, không thiên về bên nào"
ngọc thể,từ tôn xưng thân người mình kính trọng
tua tủa,"nhiều vật nhọn, cứng chĩa ra không đều"
tươi,"còn giữ nguyên chất, chưa qua chế biến"
tự do chủ nghĩa,"làm theo ý riêng, thiếu ý thức kỷ luật"
vặt,"Ít, không đáng kể nhưng thường xảy ra."
liên bộ,nhiều bộ phối hợp với nhau làm việc gì
quỵ luỵ,"tự hạ mình chịu nhục để nhờ vả, xin xỏ"
rãnh,đường lõm xuống trên bề mặt một số vật
già mồm,nói nhiều và lớn tiếng một cách hàm hồ
tức mình,khó chịu trong lòng do gặp điều trái ý
bà vãi,bà ngoại (từ dùng ở một số địa phương)
gia dụng,đồ dùng chủ yếu cho sinh hoạt gia đình
giả trá,"giả dối, lấy thật làm giả để lừa người"
giả dối,không đúng với sự thật; không thật thà
tối giản,(toán học) không thể giản ước được nữa
ngó,mầm non của một số loài cây mọc từ bùn
giao điểm,điểm gặp nhau giữa hai hay nhiều đường
trắng chiếu,quân bài đã đánh ra không được rút lại
thái bình,"đất nước, xã hội yên bình, thịnh vượng"
tha thiết,với tất cả lòng mong muốn được đáp ứng
hiếu đễ,"kính yêu cha mẹ, thương yêu anh chị em"
hiển nhiên,"quá rõ ràng, không còn nghi ngờ gì nữa"
và,Dùng đũa đưa thức ăn từ bát vào miệng.
ướm,"Đặt sát vào, xem có vừa, có hợp không."
hèn yếu,không đủ sức làm những việc quan trọng
thần tình,"tài khéo lạ lùng, không giải thích nổi"
thơn thớt,"ngọt ngào ngoài miệng, không thật lòng"
độn vai,miếng đệm đặt trong vai áo may kiểu Âu
thụp,có tiếng như tiếng đấm tay vào vật mềm
sài kinh,bệnh lên cơn co giật chân tay ở trẻ em
sần,có những nốt xù xì nổi lên trên bề mặt
siêu quần,"hơn người thường về khả năng, trình độ"
vắt,"Tiếng hô cho trâu, bò ngoặt sang trái."
tại đào,(từ cũ) đang trốn khi bị coi là có tội
ấn tín,con dấu đóng làm tin của quan hoặc vua
thanh lịch,"thanh nhã, lịch sự trong ăn nói, cư xử"
